03-04-19,52,189326,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,1959335
03-04-19,52,189350,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,1959335
03-04-19,52,189339,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,1959335
03-04-19,52,189332,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,1959335
03-04-19,52,197075,2019-02-14,96885930-7,CLINICA BICENTENARIO SPA,1958740
03-04-19,52,189323,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,1959335
03-04-19,52,189352,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,1959335
03-04-19,52,189337,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,1959335
03-04-19,52,189307,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,4217717
03-04-19,52,189328,2018-12-11,96885930-7,CLINICA BICENTENARIO SPA,6071142
03-04-19,52,197062,2019-02-14,96885930-7,CLINICA BICENTENARIO SPA,1606500
03-04-19,33,465934,2019-02-14,61980320-5,HOSPITAL CLINICO METROP. EL CARMEN,2130219
03-04-19,52,196981,2019-02-13,61980320-5,HOSPITAL CLINICO METROP. EL CARMEN,1666000
